FRPIS     	POITIERS
POTFR     	PONTARLIER
PONFR     	PONTCHATEAU
PDLFR     	PONT-DE-LARN
PORFR     	PORDIC
PREFR     	PRESLES
PRIFR     	PRINGY
FRPRP     	PROPRIANO
PUTFR     	PUTEAUX
FRUIP     	QUIMPER
RATFR     	RAMATULLE
FRRHE     	REIMS
RNSFR     	RENESCURE
FRRNS     	RENNES
FRZFJ     	RENNES
RENFR     	RENNES
RILFR     	RILLIEUX-LA-PAPE
RIOFR     	RIOZ
RISFR     	RISOUL
RIXFR     	RIXHEIM
FRRNE     	ROANNE
FRRCO     	ROCHEFORT
ROCFR     	ROCHEFORT
RLBFR     	ROCHE-LEZ-BEAUPRE
FRRDZ     	RODEZ
ROIFR     	ROISSY
RMGFR     	ROMAGNY
FRURO     	ROUEN
ROUFR     	ROUFFACH
FRRYN     	ROYAN
RUEFR     	RUEIL MALMAISON
SSCFR     	SAIL-SOUS-COUZAN
SALFR     	SAINT ALBAN LES EAUX
ASTFR     	SAINT ASTIER
SCLFR     	SAINT CLAUDE
SCVFR     	SAINT COSME EN VARAIS
SEVFR     	SAINT EGREVE
SEDFR     	SAINT ETIENNE DU BOIS
SFCFR     	SAINT FLORENT SUR CHER
SLDFR     	SAINT LAURENT DU PONT
SAIFR     	SAINT LAURENT SUR GORRE
SMAFR     	SAINT MALO 
STMFR     	SAINT MICHEL SUR MEURTH
SSVFR     	SAINT SORLIN EN VALLOIRE
FRLTT     	SAINT TROPEZ
FRXPZ     	SAINT TROPEZ
FRSYT     	SAINT YAN
STBFR     	SAINT-BRIEUC
SNTFR     	SAINT-CALUDE
SNCFR     	SAINT-CLAUDE
SMBFR     	SAINTE-MARIE-LA-BLANCHE
SGLFR     	SAINT-GEORGES-SUR-LOIRE
SLNFR     	SAINT-LEONARD-DE-NOBLAT
SANFR     	SAINT-LYE
SAMFR     	SAINT-MARCELLIN
SMCFR     	SAINT-MARTIN-DE-CRAU
SMJFR     	SAINT-MEDARD-EN-JALLES
SMMFR     	SAINT-MICHEL-SUR-MEURTHE
SPPFR     	SAINT-PIERRE-DE-PLESGUEN
STPFR     	SAINT-PRIEST
SYOFR     	SAINT-YORRE
SAVFR     	SAVIGNE-SUR-LATHAN
SCIFR     	SCIONZER
SGZFR     	SEGONZAC
SEGFR     	SEGRE
SSLFR     	SEICHES-SUR-LE-LOIR
SENFR     	SENS
SERFR     	SERQUIGNY
FRSEC     	SERRE CHEVALIER
SIGFR     	SIGNE
SILFR     	SILLE LE GUILLAUME
FRSOZ     	SOLENZARA
FRSXD     	SOPHIA ANTIPOLIS
STCFR     	ST CERE
FRSCP     	ST CREPIN
